Date,Cumulative_Infected,Cumulative_recovered,Cumulative_deceased,Active_cases,Vaccination
2020-11-14,102321,63675,1565,37081,0
2020-11-15,102720,63866,1569,37285,0
2020-11-16,103056,64130,1581,37345,0
2020-11-17,103395,64293,1588,37514,0
2020-11-18,103928,64593,1601,37734,0
2020-11-19,104427,64983,1607,37837,0
2020-11-20,104879,65325,1620,37934,0
2020-11-21,105352,65534,1636,38182,0
2020-11-22,105785,65691,1647,38447,0
2020-11-23,106203,65839,1651,38713,0
2020-11-24,106591,66018,1661,38912,0
2020-11-25,107109,66574,1664,38871,0
2020-11-26,107669,67001,1672,38996,0
2020-11-27,108438,67506,1686,39246,0
2020-11-28,108930,68250,1695,38985,0
2020-11-29,109534,69315,1700,38519,0
2020-11-30,110554,73808,1709,35037,0
2020-12-01,110554,74917,1709,33928,0
2020-12-02,110984,76067,1715,33202,0
2020-12-03,111579,77385,1724,32470,0
2020-12-04,112091,78619,1734,31738,0
2020-12-05,112740,79579,1745,31416,0
2020-12-06,113295,80831,1747,30717,0
2020-12-07,113735,82803,1755,29177,0
2020-12-08,114266,84948,1766,27552,0
2020-12-09,114834,87244,1769,25821,0
2020-12-10,115360,88975,1779,24606,0
2020-12-11,115782,91209,1791,22782,0
2020-12-12,116297,92449,1803,22045,0
2020-12-13,116769,93890,1806,21073,0
2020-12-14,117242,95225,1809,20208,0
2020-12-15,117542,97969,1818,17755,0
2020-12-16,118006,97969,1818,18219,0
2020-12-17,118481,99751,1831,16899,0
2020-12-18,119025,100859,1843,16323,0
2020-12-19,119494,102153,1846,15495,0
2020-12-20,119951,102980,1853,15118,0
2020-12-21,120348,103681,1861,14806,0
2020-12-22,120638,104818,1864,13956,0
2020-12-23,120989,105824,1870,13295,0
2020-12-24,121399,106845,1882,12672,0
2020-12-25,121880,107599,1897,12384,0
2020-12-26,122413,108269,1901,12243,0
2020-12-27,122864,109293,1909,11662,0
2020-12-28,123145,109846,1912,11387,0
2020-12-29,123388,110739,1913,10736,0
2020-12-30,123856,111870,1918,10068,0
2020-12-31,124264,112096,1923,10245,0
2021-01-01,124652,112251,1937,10464,0
2021-01-02,125049,112325,1944,10780,0
2021-01-03,125622,112367,1948,11307,0
